date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:34	110542/110542	U--M--	200	updated ('OK')	text/html	etag:%2297863b7962158789c8a2069577a369df%22	https://jritech.8b.io/	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/jritech.8b.io/index.html	(from )
15:04:34	207/207	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jan%202020%2018:04:35%20GMT	https://jritech.8b.io/robots.txt		(from )
15:04:34	10203/10203	U-----	200	untouched ('')	image/png	etag:%22bd820da4e49224a1f0ad901bde9490d1%22	https://r.8b.io/26178/assets/images/jritech_logo_128x85.png	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/r.8b.io/26178/assets/images/jritech_logo_128x85.png	(from https://jritech.8b.io/)
15:04:34	152612/152612	U-----	200	untouched ('')	image/jpeg	etag:%2271b092647ee77d7e55905139834e686c%22	https://r.8b.io/26178/images/54e9dd414855ac14ea89857dc22e3-h_k4bfspho.jpg	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/r.8b.io/26178/images/54e9dd414855ac14ea89857dc22e3-h_k4bfspho.jpg	(from https://jritech.8b.io/)
15:04:34	365697/365697	U-----	200	untouched ('')	image/jpeg	etag:%222ab238098bb21ad45ff0258224423791%22	https://r.8b.io/26178/images/57e3d5444850ab14ea89857dc22e3-h_k0xuvs87.jpg	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/r.8b.io/26178/images/57e3d5444850ab14ea89857dc22e3-h_k0xuvs87.jpg	(from https://jritech.8b.io/)
15:04:35	113640/113640	U-----	200	untouched ('')	image/jpeg	etag:%223c7cc4e48ec632d71cb9ce804cc7bbd7%22	https://app.8b.io/app/themes/webamp/projects/company/assets/images/background3.jpg	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/app.8b.io/app/themes/webamp/projects/company/assets/images/background3.jpg	(from https://jritech.8b.io/)
15:04:35	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2006%20Jan%202020%2018:04:37%20GMT	https://jritech.8b.io/index.html	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/jritech.8b.io/index.10.delayed	(from https://jritech.8b.io/)
15:04:35	0/-1	---M--	301	error ('')			https://jritech.8b.io/index.html	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/jritech.8b.io/index.11.delayed	(from https://jritech.8b.io/)
15:04:35	97369/97369	U-----	200	untouched ('')	image/jpeg	etag:%221b3d79bbfa0e4f13e0704cdcea5063f5%22	https://app.8b.io/app/themes/webamp/projects/company/assets/images/background4.jpg	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/app.8b.io/app/themes/webamp/projects/company/assets/images/background4.jpg	(from https://jritech.8b.io/)
15:04:35	258391/258391	U-----	200	untouched ('')	text/javascript	etag:%22e8d9537b72423aeb%22	https://cdn.ampproject.org/v0.js	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/cdn.ampproject.org/v0.js	(from https://jritech.8b.io/)
15:04:35	33960/33960	U-----	200	untouched ('')	text/javascript	etag:%226405fcec128d55a0%22	https://cdn.ampproject.org/v0/amp-mustache-0.2.js	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/cdn.ampproject.org/v0/amp-mustache-0.2.js	(from https://jritech.8b.io/)
